year,Toyota_wordwide_sales,Toyota_sales_inside_japan,Toyota_sales_outside_japan,Daihatsu_wordwide_sales,Daihatsu_sales_inside_japan,Daihatsu_sales_outside_japan,Hino_wordwide_sales,Hino_sales_inside_japan,Hino_sales_outside_japan,Total_wordwide_sales,Total_sales_inside_japan,Total_sales_outside_japan
2009,6979552,1375509,5604043,754406,596229,158177,79242,24436,54806,7813200,1996174,5817026
2010,7527738,1566157,5961581,783292,608528,174764,107104,29164,77940,8418134,2203849,6214285
2011,7096853,1200976,5895877,730498,548301,182197,121606,34244,87362,7948957,1783521,6165436
2012,8717314,1692228,7025086,875662,677200,198462,154795,42462,112333,9747771,2411890,7335881
2013,8947756,1584316,7363440,869875,662718,207157,162460,48188,114272,9980091,2295222,7684869
2014,9147342,1554318,7593024,915239,708207,207032,168348,57422,110926,10230929,2319947,7910982
2015,9188559,1497869,7690690,793760,610426,183334,168764,61174,107590,10151083,2169469,7981614
2016,9223727,1580851,7642876,780384,587042,193342,170469,63309,107160,10174580,2231202,7943378
2017,9383780,1633161,7750619,816997,630902,186095,185125,67776,117349,10385902,2331839,8054063
2018,9541748,1564309,7977439,848182,646874,201308,203768,70808,132960,10593698,2281991,8311707
2019,9714253,1610169,8104084,837990,658935,179055,189879,69789,120090,10742122,2338893,8403229
